"","State","Year","Political_Party","Total_Energy","NonRenewable_Energy","Perc_NonRenewable_Energy","Renewable_Energy","Perc_Renewable_Energy"
"1","AK",2002,"Republican to Democratic",723166,714640,99,8526,1
"2","AK",2014,"Independent to Republican",585727,574204,98,11523,2
"3","AL",2003,"Republican to Democratic",1897040,1697326,89,199714,11
"4","AR",2007,"Democrat to Republican",1108782,1007996,91,100786,9
"5","AR",2015,"Republican to Democrat",1043382,935957,90,107425,10
"6","AZ",2003,"Democrat to Republican",1319572,1282888,97,36684,3
"7","AZ",2004,"Democrat to Republican",1372363,1336001,97,36362,3
"8","AZ",2005,"Democrat to Republican",1411695,1361810,96,49885,4
"9","AZ",2006,"Republican to Democrat",1457800,1406575,96,51225,4
"10","AZ",2007,"Republican to Democrat",1466903,1412312,96,54591,4
"11","AZ",2008,"Republican to Democrat",1433406,1368820,95,64586,5
"12","AZ",2009,"Republican to Democrat",1351254,1296636,96,54618,4
"13","CA",2003,"Republican to Democrat",7454129,7047478,95,406651,5
"14","CA",2011,"Democrat to Republican",7186089,6644859,92,541230,8
"15","CO",2007,"Democratic to Republican",1463502,1432496,98,31006,2
"16","CT",2011,"Democrat to Republican",740235,700295,95,39940,5
"17","DE",2017,"Democratic to Democrat",274259,267191,97,7068,3
"18","FL",1999,"Republican to Democratic",3907612,3704371,95,203241,5
"19","GA",2003,"Republican to Democratic",2923139,2729218,93,193921,7
"20","HI",2002,"Republican to Democrat",283505,274199,97,9306,3
"21","HI",2010,"Democrat to Republican",293799,279414,95,14385,5
"22","HI",2014,"Democratic to Democrat",285390,267004,94,18386,6
"23","IA",2011,"Republican to Democratic",1441350,1161217,81,280133,19
"24","IL",2003,"Democrat to Republican",3944694,3818726,97,125968,3
"25","IL",2015,"Republican to Democrat",3870603,3668613,95,201990,5
"26","IN",2005,"Republican to Democrat",2921512,2860635,98,60877,2
"27","KS",2003,"Democrat to Republican",1137937,1118568,98,19369,2
"28","KS",2011,"Republican to Democrat",1074483,1017054,95,57429,5
"29","KY",2003,"Republican to Democratic",1895859,1851865,98,43994,2
"30","KY",2007,"Democratic to Republican",2031787,1977072,97,54715,3
"31","KY",2015,"Republican to Democratic",1710943,1641641,96,69302,4
"32","LA",2004,"Democratic to Republican",4005138,3822630,95,182508,5
"33","LA",2008,"Republican to Democratic",4215291,4107509,97,107782,3
"34","LA",2016,"Democratic to Republican",4011551,3844130,96,167421,4
"35","MA",2007,"Democratic to Republican",1447013,1392335,96,54678,4
"36","MA",2015,"Republican to Democratic",1436590,1362060,95,74530,5
"37","MD",2003,"Republican to Democratic",1560860,1524454,98,36406,2
"38","MD",2007,"Democratic to Republican",1486507,1438644,97,47863,3
"39","MD",2015,"Republican to Democratic",1388315,1329425,96,58890,4
"40","ME",2003,"Democratic to Independent",414953,303899,73,111054,27
"41","ME",2011,"Republican to Democratic",393616,256130,65,137486,35
"42","MI",2003,"Democratic to Republican",3187033,3083728,97,103305,3
"43","MI",2011,"Republican to Democratic",2810874,2646301,94,164573,6
"44","MN",2003,"Republican to Minnesota Independence Party",1843962,1748425,95,95537,5
"45","MN",2011,"Democratic-Farmer-Labor to Republican",1792762,1598276,89,194486,11
"46","MO",2005,"Republican to Democratic",1974667,1927711,98,46956,2
"47","MO",2009,"Democratic to Republican",1830471,1753265,96,77206,4
"48","MO",2017,"Republican to Democratic",1722939,1640240,95,82699,5
"49","MS",2000,"Democratic to Republican",1242230,1166841,94,75389,6
"50","MS",2004,"Republican to Democratic",1206056,1144754,95,61302,5
"51","MT",2005,"Democratic to Republican",389848,338103,87,51745,13
"52","NC",2013,"Republican to Democratic",2503234,2317353,93,185881,7
"53","NH",2003,"Republican to Democratic",320333,299417,93,20916,7
"54","NH",2005,"Democratic to Republican",320450,289803,90,30647,10
"55","NH",2017,"Republican to Democratic",310340,255440,82,54900,18
"56","NJ",2002,"Democratic to Republican",2479729,2451091,99,28638,1
"57","NJ",2010,"Republican to Democratic",2277813,2205487,97,72326,3
"58","NM",2003,"Democratic to Republican",659610,653233,99,6377,1
"59","NM",2011,"Republican to Democratic",661374,633072,96,28302,4
"60","NV",2019,"Democratic to Republican",715008,656742,92,58266,8
"61","NY",2007,"Democratic to Republican",3785871,3563781,94,222090,6
"62","OH",2007,"Democratic to Republican",4037709,3956553,98,81156,2
"63","OH",2011,"Republican to Democratic",3728725,3595460,96,133265,4
"64","OK",2003,"Democratic to Republican",1477033,1447475,98,29558,2
"65","OK",2011,"Republican to Democratic",1537902,1468307,95,69595,5
"66","PA",2003,"Democratic to Republican",3943918,3856561,98,87357,2
"67","PA",2011,"Republican to Democratic",3727655,3547695,95,179960,5
"68","PA",2015,"Democratic to Republican",3873641,3676861,95,196780,5
"69","RI",2011,"Democratic to Republican",185462,178584,96,6878,4
"70","SC",2003,"Republican to Democratic",1585456,1506238,95,79218,5
"71","TN",2003,"Democratic to Republican",2165119,2061495,95,103624,5
"72","TN",2011,"Republican to Democratic",2115408,1985161,94,130247,6
"73","VA",1999,"Democratic to Republican",2286540,2168356,95,118184,5
"74","VA",2000,"Democratic to Republican",2392470,2280257,95,112213,5
"75","VA",2001,"Democratic to Republican",2322159,2233494,96,88665,4
"76","VA",2002,"Democratic to Republican",2345733,2269429,97,76304,3
"77","VA",2010,"Republican to Democratic",2498119,2363289,95,134830,5
"78","VA",2011,"Republican to Democratic",2378679,2248261,95,130418,5
"79","VA",2012,"Republican to Democratic",2319180,2189022,94,130158,6
"80","VA",2013,"Republican to Democratic",2390087,2243007,94,147080,6
"81","VA",2014,"Democratic to Republican",2445751,2282335,93,163416,7
"82","VA",2015,"Independent to Democratic",2407419,2243898,93,163521,7
"83","VA",2016,"Independent to Democratic",2385837,2225789,93,160048,7
"84","VA",2017,"Independent to Democratic",2363063,2203852,93,159211,7
"85","VA",2018,"Democratic to Independent",2454395,2283081,93,171314,7
"86","VA",2019,"Democratic to Independent",2422690,2264663,93,158027,7
"87","VT",2003,"Republican to Democratic",146619,130384,89,16235,11
"88","VT",2011,"Democratic to Republican",145839,121977,84,23862,16
"89","WI",2003,"Democratic to Republican",1849371,1744111,94,105260,6
"90","WI",2011,"Republican to Democratic",1767437,1602665,91,164772,9
"91","WV",2001,"Democratic to Republican",726547,717964,99,8583,1
"92","WV",2017,"Republican to Democratic",742075,711474,96,30601,4
"93","WY",2003,"Democratic to Republican",459188,453995,99,5193,1
"94","WY",2011,"Republican to Democratic",543253,518268,95,24985,5
