"","State","Year","New_Policies","Cumulative_Policies"
"1","AK","2000",2,2
"2","AK","2005",1,3
"3","AK","2006",3,6
"4","AK","2008",1,7
"5","AK","2009",1,8
"6","AK","2010",2,10
"7","AK","2011",1,11
"8","AK","2014",1,12
"9","AK","2021",3,15
"10","AK","2024",1,16
"11","AL","2000",1,17
"12","AL","2006",5,22
"13","AL","2015",2,24
"14","AL","2016",2,26
"15","AL","2020",2,28
"16","AL","2021",1,29
"17","AL","2022",1,30
"18","AL","2023",2,32
"19","AL","2024",2,34
"20","AL","2025",2,36
"21","AR","2006",3,39
"22","AR","2009",7,46
"23","AR","2010",3,49
"24","AR","2014",2,51
"25","AR","2015",2,53
"26","AR","2021",1,54
"27","AR","2023",2,56
"28","AR","2001",1,57
"29","AR","2002",1,58
"30","AR","2011",1,59
"31","AR","2013",1,60
"32","AR","2024",1,61
"33","AZ","2000",7,68
"34","AZ","2004",1,69
"35","AZ","2005",1,70
"36","AZ","2002",1,71
"37","AZ","2003",1,72
"38","AZ","2006",4,76
"39","AZ","2007",4,80
"40","AZ","2008",6,86
"41","AZ","2009",4,90
"42","AZ","2010",7,97
"43","AZ","2011",4,101
"44","AZ","2014",1,102
"45","AZ","2016",2,104
"46","AZ","2021",4,108
"47","AZ","2024",1,109
"48","AZ","2025",1,110
"49","AZ","2001",1,111
"50","CA","2000",11,122
"51","CA","2004",8,130
"52","CA","2006",49,179
"53","CA","2009",7,186
"54","CA","2010",4,190
"55","CA","2011",13,203
"56","CA","2012",7,210
"57","CA","2014",4,214
"58","CA","2015",3,217
"59","CA","2016",9,226
"60","CA","2019",5,231
"61","CA","2021",19,250
"62","CA","2022",5,255
"63","CA","2001",2,257
"64","CA","2002",1,258
"65","CA","2008",1,259
"66","CA","2023",3,262
"67","CA","2024",3,265
"68","CA","2018",1,266
"69","CO","2000",2,268
"70","CO","2005",2,270
"71","CO","2006",20,290
"72","CO","2007",5,295
"73","CO","2008",6,301
"74","CO","2009",6,307
"75","CO","2010",10,317
"76","CO","2011",3,320
"77","CO","2012",3,323
"78","CO","2014",5,328
"79","CO","2018",2,330
"80","CO","2021",14,344
"81","CO","2023",7,351
"82","CO","2024",4,355
"83","CO","2025",14,369
"84","CO","2001",3,372
"85","CO","2019",4,376
"86","CO","2022",2,378
"87","CT","2000",3,381
"88","CT","2004",3,384
"89","CT","2006",7,391
"90","CT","2007",4,395
"91","CT","2010",3,398
"92","CT","2011",2,400
"93","CT","2015",6,406
"94","CT","2021",5,411
"95","CT","2022",3,414
"96","CT","2023",2,416
"97","CT","2024",2,418
"98","CT","2025",1,419
"99","CT","2008",1,420
"100","CT","2012",1,421
"101","DC","2000",1,422
"102","DC","2005",2,424
"103","DC","2001",1,425
"104","DC","2004",1,426
"105","DC","2006",1,427
"106","DC","2007",1,428
"107","DC","2008",1,429
"108","DC","2010",1,430
"109","DC","2012",2,432
"110","DC","2013",1,433
"111","DC","2015",2,435
"112","DC","2019",1,436
"113","DC","2021",2,438
"114","DC","2022",1,439
"115","DC","2023",1,440
"116","DC","2025",2,442
"117","DE","2000",2,444
"118","DE","2001",2,446
"119","DE","2002",1,447
"120","DE","2005",1,448
"121","DE","2006",2,450
"122","DE","2007",5,455
"123","DE","2009",2,457
"124","DE","2010",1,458
"125","DE","2014",2,460
"126","DE","2015",4,464
"127","DE","2021",3,467
"128","DE","2022",3,470
"129","DE","2023",2,472
"130","DE","2024",1,473
"131","DE","2025",3,476
"132","FL","2000",5,481
"133","FL","2006",8,489
"134","FL","2007",3,492
"135","FL","2008",9,501
"136","FL","2010",5,506
"137","FL","2011",5,511
"138","FL","2012",3,514
"139","FL","2013",3,517
"140","FL","2018",1,518
"141","FL","2020",3,521
"142","FL","2024",5,526
"143","FL","2025",3,529
"144","FL","2001",2,531
"145","FL","2003",1,532
"146","FL","2009",11,543
"147","FL","2015",1,544
"148","FL","2016",6,550
"149","FL","2021",2,552
"150","FL","2022",1,553
"151","GA","2000",1,554
"152","GA","2001",1,555
"153","GA","2003",2,557
"154","GA","2006",12,569
"155","GA","2008",3,572
"156","GA","2009",1,573
"157","GA","2010",1,574
"158","GA","2011",1,575
"159","GA","2012",1,576
"160","GA","2015",1,577
"161","GA","2018",1,578
"162","GA","2020",1,579
"163","GA","2021",3,582
"164","GA","2022",1,583
"165","GA","2023",2,585
"166","GA","2024",5,590
"167","GU","2008",3,593
"168","GU","2024",1,594
"169","HI","2000",5,599
"170","HI","2001",4,603
"171","HI","2003",2,605
"172","HI","2006",5,610
"173","HI","2008",3,613
"174","HI","2009",2,615
"175","HI","2010",2,617
"176","HI","2011",1,618
"177","HI","2012",1,619
"178","HI","2013",1,620
"179","HI","2021",2,622
"180","HI","2022",1,623
"181","HI","2024",1,624
"182","IA","2000",7,631
"183","IA","2001",1,632
"184","IA","2005",1,633
"185","IA","2003",2,635
"186","IA","2006",6,641
"187","IA","2007",1,642
"188","IA","2008",5,647
"189","IA","2009",6,653
"190","IA","2010",5,658
"191","IA","2011",1,659
"192","IA","2012",3,662
"193","IA","2013",1,663
"194","IA","2021",1,664
"195","IA","2023",2,666
"196","IA","2024",2,668
"197","ID","2000",4,672
"198","ID","2005",2,674
"199","ID","2003",1,675
"200","ID","2006",6,681
"201","ID","2007",7,688
"202","ID","2008",1,689
"203","ID","2009",1,690
"204","ID","2010",3,693
"205","ID","2019",1,694
"206","ID","2021",2,696
"207","ID","2024",2,698
"208","IL","2000",5,703
"209","IL","2001",3,706
"210","IL","2006",5,711
"211","IL","2007",7,718
"212","IL","2008",9,727
"213","IL","2009",12,739
"214","IL","2010",7,746
"215","IL","2011",3,749
"216","IL","2012",3,752
"217","IL","2016",1,753
"218","IL","2021",2,755
"219","IL","2022",4,759
"220","IL","2023",5,764
"221","IL","2024",2,766
"222","IN","2000",2,768
"223","IN","2005",1,769
"224","IN","2004",1,770
"225","IN","2006",4,774
"226","IN","2007",18,792
"227","IN","2008",7,799
"228","IN","2009",2,801
"229","IN","2010",4,805
"230","IN","2011",5,810
"231","IN","2012",3,813
"232","IN","2013",1,814
"233","IN","2015",4,818
"234","IN","2020",1,819
"235","IN","2021",3,822
"236","IN","2023",2,824
"237","IN","2024",3,827
"238","KS","2000",2,829
"239","KS","2006",1,830
"240","KS","2008",2,832
"241","KS","2009",4,836
"242","KS","2014",2,838
"243","KS","2016",1,839
"244","KY","2000",1,840
"245","KY","2004",1,841
"246","KY","2006",8,849
"247","KY","2007",2,851
"248","KY","2008",1,852
"249","KY","2009",4,856
"250","KY","2010",4,860
"251","KY","2015",2,862
"252","KY","2016",1,863
"253","KY","2020",1,864
"254","KY","2023",1,865
"255","KY","2024",7,872
"256","LA","2003",2,874
"257","LA","2004",1,875
"258","LA","2006",1,876
"259","LA","2007",2,878
"260","LA","2009",2,880
"261","LA","2010",2,882
"262","LA","2015",5,887
"263","LA","2016",1,888
"264","LA","2021",1,889
"265","LA","2022",1,890
"266","LA","2023",2,892
"267","LA","2024",4,896
"268","MA","2000",10,906
"269","MA","2003",1,907
"270","MA","2006",19,926
"271","MA","2007",3,929
"272","MA","2009",5,934
"273","MA","2010",5,939
"274","MA","2011",4,943
"275","MA","2012",1,944
"276","MA","2015",2,946
"277","MA","2016",1,947
"278","MA","2017",1,948
"279","MA","2019",1,949
"280","MA","2020",1,950
"281","MA","2021",11,961
"282","MA","2022",2,963
"283","MA","2023",7,970
"284","MA","2024",3,973
"285","MA","2025",13,986
"286","MD","2006",4,990
"287","MD","2009",12,1002
"288","MD","2010",6,1008
"289","MD","2011",4,1012
"290","MD","2012",2,1014
"291","MD","2014",1,1015
"292","MD","2015",7,1022
"293","MD","2021",8,1030
"294","MD","2025",8,1038
"295","MD","2000",5,1043
"296","MD","2001",2,1045
"297","MD","2005",1,1046
"298","MD","2002",1,1047
"299","MD","2004",1,1048
"300","MD","2007",2,1050
"301","MD","2008",5,1055
"302","MD","2017",1,1056
"303","MD","2019",1,1057
"304","MD","2020",1,1058
"305","MD","2023",1,1059
"306","MD","2024",3,1062
"307","ME","2000",3,1065
"308","ME","2003",1,1066
"309","ME","2005",1,1067
"310","ME","2006",3,1070
"311","ME","2009",3,1073
"312","ME","2010",1,1074
"313","ME","2011",1,1075
"314","ME","2012",1,1076
"315","ME","2013",1,1077
"316","ME","2018",1,1078
"317","ME","2021",2,1080
"318","ME","2022",1,1081
"319","ME","2023",3,1084
"320","ME","2024",6,1090
"321","ME","2025",3,1093
"322","MI","2003",1,1094
"323","MI","2000",1,1095
"324","MI","2001",1,1096
"325","MI","2004",1,1097
"326","MI","2006",5,1102
"327","MI","2007",2,1104
"328","MI","2008",1,1105
"329","MI","2009",10,1115
"330","MI","2010",11,1126
"331","MI","2011",2,1128
"332","MI","2014",1,1129
"333","MI","2015",1,1130
"334","MI","2021",7,1137
"335","MI","2023",1,1138
"336","MI","2024",6,1144
"337","MN","2000",8,1152
"338","MN","2001",3,1155
"339","MN","2003",1,1156
"340","MN","2004",1,1157
"341","MN","2005",2,1159
"342","MN","2006",33,1192
"343","MN","2007",33,1225
"344","MN","2008",2,1227
"345","MN","2009",15,1242
"346","MN","2010",3,1245
"347","MN","2011",5,1250
"348","MN","2012",1,1251
"349","MN","2013",1,1252
"350","MN","2014",2,1254
"351","MN","2015",3,1257
"352","MN","2016",1,1258
"353","MN","2019",3,1261
"354","MN","2020",2,1263
"355","MN","2021",4,1267
"356","MN","2022",1,1268
"357","MN","2023",3,1271
"358","MO","2000",3,1274
"359","MO","2004",1,1275
"360","MO","2003",1,1276
"361","MO","2006",7,1283
"362","MO","2007",7,1290
"363","MO","2008",8,1298
"364","MO","2009",3,1301
"365","MO","2010",9,1310
"366","MO","2012",1,1311
"367","MO","2013",1,1312
"368","MO","2014",5,1317
"369","MO","2016",4,1321
"370","MO","2018",2,1323
"371","MO","2021",2,1325
"372","MO","2024",1,1326
"373","MP","2011",2,1328
"374","MP","2014",1,1329
"375","MS","2000",1,1330
"376","MS","2006",4,1334
"377","MS","2008",1,1335
"378","MS","2010",2,1337
"379","MS","2014",1,1338
"380","MS","2015",4,1342
"381","MS","2017",2,1344
"382","MS","2020",1,1345
"383","MS","2021",1,1346
"384","MS","2023",2,1348
"385","MS","2024",3,1351
"386","MT","2003",4,1355
"387","MT","2000",3,1358
"388","MT","2005",2,1360
"389","MT","2001",2,1362
"390","MT","2002",1,1363
"391","MT","2006",7,1370
"392","MT","2007",2,1372
"393","MT","2009",1,1373
"394","MT","2010",2,1375
"395","MT","2023",1,1376
"396","MT","2024",3,1379
"397","NC","2000",2,1381
"398","NC","2005",2,1383
"399","NC","2004",1,1384
"400","NC","2006",8,1392
"401","NC","2007",7,1399
"402","NC","2008",4,1403
"403","NC","2009",14,1417
"404","NC","2010",5,1422
"405","NC","2011",2,1424
"406","NC","2012",2,1426
"407","NC","2013",1,1427
"408","NC","2014",1,1428
"409","NC","2015",2,1430
"410","NC","2019",2,1432
"411","NC","2020",1,1433
"412","NC","2021",2,1435
"413","NC","2022",2,1437
"414","NC","2023",1,1438
"415","NC","2024",6,1444
"416","NC","2025",2,1446
"417","ND","2000",3,1449
"418","ND","2006",2,1451
"419","ND","2007",2,1453
"420","ND","2008",1,1454
"421","ND","2011",3,1457
"422","ND","2012",2,1459
"423","ND","2023",1,1460
"424","ND","2024",2,1462
"425","NE","2000",2,1464
"426","NE","2006",1,1465
"427","NE","2007",1,1466
"428","NE","2009",6,1472
"429","NE","2010",1,1473
"430","NE","2011",1,1474
"431","NE","2013",1,1475
"432","NE","2016",2,1477
"433","NE","2018",1,1478
"434","NE","2021",1,1479
"435","NE","2022",1,1480
"436","NH","2000",3,1483
"437","NH","2006",13,1496
"438","NH","2007",3,1499
"439","NH","2010",4,1503
"440","NH","2015",1,1504
"441","NH","2016",1,1505
"442","NH","2019",1,1506
"443","NH","2021",1,1507
"444","NH","2022",2,1509
"445","NH","2023",8,1517
"446","NH","2024",1,1518
"447","NH","2002",1,1519
"448","NH","2009",1,1520
"449","NH","2011",1,1521
"450","NJ","2000",3,1524
"451","NJ","2001",2,1526
"452","NJ","2003",1,1527
"453","NJ","2006",5,1532
"454","NJ","2007",2,1534
"455","NJ","2008",3,1537
"456","NJ","2009",4,1541
"457","NJ","2010",4,1545
"458","NJ","2011",1,1546
"459","NJ","2012",2,1548
"460","NJ","2014",2,1550
"461","NJ","2015",2,1552
"462","NJ","2018",1,1553
"463","NJ","2020",1,1554
"464","NJ","2021",7,1561
"465","NJ","2022",3,1564
"466","NJ","2023",3,1567
"467","NJ","2024",1,1568
"468","NJ","2025",2,1570
"469","NM","2000",2,1572
"470","NM","2005",2,1574
"471","NM","2002",1,1575
"472","NM","2003",1,1576
"473","NM","2006",2,1578
"474","NM","2007",3,1581
"475","NM","2008",3,1584
"476","NM","2009",3,1587
"477","NM","2010",6,1593
"478","NM","2011",2,1595
"479","NM","2012",2,1597
"480","NM","2014",2,1599
"481","NM","2016",1,1600
"482","NM","2017",1,1601
"483","NM","2021",6,1607
"484","NM","2022",1,1608
"485","NM","2024",1,1609
"486","NV","2000",7,1616
"487","NV","2003",2,1618
"488","NV","2006",2,1620
"489","NV","2007",4,1624
"490","NV","2008",1,1625
"491","NV","2009",3,1628
"492","NV","2010",2,1630
"493","NV","2011",1,1631
"494","NV","2020",1,1632
"495","NV","2024",1,1633
"496","NY","2000",4,1637
"497","NY","2001",2,1639
"498","NY","2002",1,1640
"499","NY","2003",1,1641
"500","NY","2005",1,1642
"501","NY","2006",6,1648
"502","NY","2007",3,1651
"503","NY","2008",5,1656
"504","NY","2009",17,1673
"505","NY","2010",9,1682
"506","NY","2011",5,1687
"507","NY","2012",1,1688
"508","NY","2013",1,1689
"509","NY","2014",3,1692
"510","NY","2016",2,1694
"511","NY","2017",3,1697
"512","NY","2019",3,1700
"513","NY","2020",1,1701
"514","NY","2021",14,1715
"515","NY","2022",2,1717
"516","NY","2023",2,1719
"517","NY","2024",3,1722
"518","OH","2000",5,1727
"519","OH","2001",1,1728
"520","OH","2003",1,1729
"521","OH","2006",2,1731
"522","OH","2007",2,1733
"523","OH","2008",4,1737
"524","OH","2009",6,1743
"525","OH","2010",7,1750
"526","OH","2011",3,1753
"527","OH","2014",2,1755
"528","OH","2017",1,1756
"529","OH","2021",2,1758
"530","OK","2000",1,1759
"531","OK","2005",1,1760
"532","OK","2006",2,1762
"533","OK","2008",2,1764
"534","OK","2009",6,1770
"535","OK","2010",3,1773
"536","OK","2011",4,1777
"537","OK","2012",2,1779
"538","OK","2014",2,1781
"539","OK","2019",1,1782
"540","OK","2021",6,1788
"541","OK","2023",1,1789
"542","OR","2000",7,1796
"543","OR","2001",5,1801
"544","OR","2002",2,1803
"545","OR","2003",2,1805
"546","OR","2006",19,1824
"547","OR","2005",3,1827
"548","OR","2007",17,1844
"549","OR","2008",8,1852
"550","OR","2009",10,1862
"551","OR","2010",1,1863
"552","OR","2011",1,1864
"553","OR","2013",2,1866
"554","OR","2015",2,1868
"555","OR","2016",3,1871
"556","OR","2020",1,1872
"557","OR","2021",8,1880
"558","OR","2022",2,1882
"559","OR","2023",4,1886
"560","OR","2024",3,1889
"561","PA","2000",3,1892
"562","PA","2004",2,1894
"563","PA","2002",5,1899
"564","PA","2003",1,1900
"565","PA","2005",2,1902
"566","PA","2006",2,1904
"567","PA","2008",2,1906
"568","PA","2009",12,1918
"569","PA","2010",8,1926
"570","PA","2011",4,1930
"571","PA","2012",1,1931
"572","PA","2015",2,1933
"573","PA","2016",2,1935
"574","PA","2021",9,1944
"575","PA","2022",2,1946
"576","PA","2024",1,1947
"577","PA","2025",5,1952
"578","PR","2002",2,1954
"579","PR","2008",6,1960
"580","PR","2000",1,1961
"581","PR","2009",1,1962
"582","PR","2010",1,1963
"583","PR","2024",1,1964
"584","PW","2014",1,1965
"585","RI","2000",3,1968
"586","RI","2004",1,1969
"587","RI","2005",2,1971
"588","RI","2006",4,1975
"589","RI","2007",1,1976
"590","RI","2008",4,1980
"591","RI","2010",1,1981
"592","RI","2011",1,1982
"593","RI","2013",3,1985
"594","RI","2014",2,1987
"595","RI","2015",3,1990
"596","RI","2016",1,1991
"597","RI","2017",1,1992
"598","RI","2022",1,1993
"599","RI","2024",3,1996
"600","RI","2025",1,1997
"601","SC","2006",12,2009
"602","SC","2007",4,2013
"603","SC","2008",2,2015
"604","SC","2009",4,2019
"605","SC","2010",4,2023
"606","SC","2011",2,2025
"607","SC","2012",1,2026
"608","SC","2013",1,2027
"609","SC","2014",2,2029
"610","SC","2015",1,2030
"611","SC","2017",1,2031
"612","SC","2021",1,2032
"613","SC","2024",1,2033
"614","SD","2006",2,2035
"615","SD","2007",2,2037
"616","SD","2008",5,2042
"617","SD","2009",1,2043
"618","SD","2010",4,2047
"619","SD","2012",2,2049
"620","SD","2013",1,2050
"621","SD","2021",1,2051
"622","SD","2023",1,2052
"623","SD","2024",1,2053
"624","TN","2000",1,2054
"625","TN","2006",4,2058
"626","TN","2008",1,2059
"627","TN","2009",1,2060
"628","TN","2010",2,2062
"629","TN","2011",1,2063
"630","TN","2012",1,2064
"631","TN","2015",1,2065
"632","TN","2020",1,2066
"633","TN","2024",4,2070
"634","TX","2001",1,2071
"635","TX","2000",4,2075
"636","TX","2002",1,2076
"637","TX","2003",1,2077
"638","TX","2004",1,2078
"639","TX","2005",1,2079
"640","TX","2006",18,2097
"641","TX","2007",12,2109
"642","TX","2008",7,2116
"643","TX","2009",15,2131
"644","TX","2010",2,2133
"645","TX","2011",11,2144
"646","TX","2012",4,2148
"647","TX","2013",1,2149
"648","TX","2014",7,2156
"649","TX","2015",3,2159
"650","TX","2016",3,2162
"651","TX","2018",1,2163
"652","TX","2019",2,2165
"653","TX","2021",11,2176
"654","TX","2022",2,2178
"655","TX","2024",2,2180
"656","TX","2025",1,2181
"657","US","2002",6,2187
"658","US","2003",3,2190
"659","US","2004",1,2191
"660","US","2005",1,2192
"661","US","2006",5,2197
"662","US","2007",1,2198
"663","US","2008",1,2199
"664","US","2010",1,2200
"665","US","2012",1,2201
"666","US","2015",4,2205
"667","US","2021",1,2206
"668","US","2022",3,2209
"669","UT","2000",4,2213
"670","UT","2002",1,2214
"671","UT","2003",1,2215
"672","UT","2004",1,2216
"673","UT","2006",3,2219
"674","UT","2007",7,2226
"675","UT","2008",1,2227
"676","UT","2009",2,2229
"677","UT","2012",1,2230
"678","UT","2013",2,2232
"679","UT","2021",3,2235
"680","UT","2024",1,2236
"681","VA","2006",2,2238
"682","VA","2009",1,2239
"683","VA","2010",5,2244
"684","VA","2011",4,2248
"685","VA","2014",2,2250
"686","VA","2015",5,2255
"687","VA","2020",3,2258
"688","VA","2024",1,2259
"689","VA","2000",2,2261
"690","VA","2005",1,2262
"691","VA","2021",3,2265
"692","VA","2001",1,2266
"693","VA","2003",1,2267
"694","VA","2007",3,2270
"695","VA","2008",2,2272
"696","VA","2012",1,2273
"697","VA","2016",3,2276
"698","VA","2022",3,2279
"699","VI","2005",1,2280
"700","VI","2007",1,2281
"701","VI","2009",2,2283
"702","VI","2014",2,2285
"703","VI","2024",2,2287
"704","VT","2000",3,2290
"705","VT","2002",1,2291
"706","VT","2004",1,2292
"707","VT","2005",1,2293
"708","VT","2006",8,2301
"709","VT","2007",1,2302
"710","VT","2009",5,2307
"711","VT","2008",1,2308
"712","VT","2010",3,2311
"713","VT","2012",2,2313
"714","VT","2014",2,2315
"715","VT","2015",1,2316
"716","VT","2019",2,2318
"717","VT","2021",22,2340
"718","VT","2022",1,2341
"719","VT","2023",6,2347
"720","VT","2024",8,2355
"721","WA","2000",4,2359
"722","WA","2002",2,2361
"723","WA","2005",1,2362
"724","WA","2001",2,2364
"725","WA","2006",28,2392
"726","WA","2007",7,2399
"727","WA","2008",4,2403
"728","WA","2009",5,2408
"729","WA","2010",5,2413
"730","WA","2011",2,2415
"731","WA","2014",2,2417
"732","WA","2015",6,2423
"733","WA","2016",4,2427
"734","WA","2021",4,2431
"735","WA","2022",1,2432
"736","WA","2023",2,2434
"737","WA","2024",2,2436
"738","WI","2000",8,2444
"739","WI","2002",1,2445
"740","WI","2003",1,2446
"741","WI","2006",11,2457
"742","WI","2007",2,2459
"743","WI","2009",6,2465
"744","WI","2010",2,2467
"745","WI","2011",3,2470
"746","WI","2012",2,2472
"747","WI","2015",1,2473
"748","WI","2019",1,2474
"749","WI","2021",8,2482
"750","WI","2023",1,2483
"751","WI","2024",3,2486
"752","WV","2001",2,2488
"753","WV","2006",1,2489
"754","WV","2007",1,2490
"755","WV","2010",1,2491
"756","WV","2011",1,2492
"757","WV","2012",2,2494
"758","WY","2003",2,2496
"759","WY","2008",2,2498
"760","WY","2007",5,2503
"761","WY","2020",2,2505
"762","WY","2024",2,2507
"763","WY","2006",1,2508
"764","WY","2009",1,2509
"765","WY","2011",2,2511
"766","WY","2019",1,2512
